id,autotrader_listing_id,dealer_id,make_id,model_id,trim_id,registration,year,manufacture_date,first_registration_date,engine_size,engine_power,engine_torque,fuel_type_id,transmission_type_id,drivetrain,mileage,mileage_unit,condition_grade,previous_owners,service_history,mot_expiry,tax_expiry,price,currency,price_type,trade_price,finance_available,part_exchange_accepted,title,description,listing_type,availability_status,featured,urgent_sale,listed_at,last_updated,sold_at,expires_at,color_id
11,AT123461,1,4,10,10,GH67 RST,2021,2021-02-18,2021-03-01,1.8,122,142,4,3,FWD,18000,Miles,Excellent,1,Full,2025-03-01,2025-03-01,21950,GBP,Fixed,20500,true,true,2021 Toyota Corolla 1.8 Hybrid Icon,"Excellent hybrid, low running costs, Toyota reliability.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
2,AT1234571,1,1,2,1,BC23 FGH,2019,2019-06-10,2019-07-01,2,190,320,2,2,FWD,35000,Miles,Very Good,2,Full,2024-07-01,2024-07-01,24950,GBP,Negotiable,23000,true,true,2019 Audi A4 2.0 TDI Sport,"Well maintained, recent service, excellent fuel economy.",Used,Available,false,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,413
23,AT123473,1,1,1,2,EF89 BCD,2021,2021-01-12,2021-02-01,2,190,320,1,2,FWD,19000,Miles,Excellent,1,Full,2025-02-01,2025-02-01,29950,GBP,Fixed,28000,true,true,2021 Audi A3 40 TFSI S Line,"Premium compact, latest generation, immaculate.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
24,AT123474,2,2,5,6,GH90 EFG,2017,2017-07-20,2017-08-01,3,340,450,1,2,RWD,68000,Miles,Good,2,Full,2024-08-01,2024-08-01,24950,GBP,Negotiable,22500,true,true,2017 BMW 5 Series M340i xDrive,"Performance executive saloon, well maintained.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,157
20,AT123470,2,4,11,1,YZ56 STU,2020,2020-12-03,2020-12-20,2.5,218,221,4,3,AWD,26000,Miles,Very Good,1,Full,2024-12-20,2024-12-20,32950,GBP,Fixed,30500,true,true,2020 Toyota RAV4 2.5 Hybrid AWD Design,"Reliable hybrid SUV, excellent build quality.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,797
48,AT123498,2,4,11,1,CD34 YZA,2019,2019-07-16,2019-08-01,2.5,218,221,4,3,AWD,49000,Miles,Good,2,Full,2024-08-01,2024-08-01,29950,GBP,Negotiable,27500,true,true,2019 Toyota RAV4 2.5 Hybrid AWD Icon,"Reliable hybrid SUV, practical family car.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
51,AT123501,1,5,15,1,IJ67 HIJ,2021,2021-01-08,2021-01-25,1.5,150,250,1,2,FWD,24000,Miles,Excellent,1,Full,2025-01-25,2025-01-25,28950,GBP,Fixed,27000,true,true,2021 Volkswagen Tiguan 1.5 TSI R-Line,"Sporty SUV, excellent build quality.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
47,AT123497,1,3,9,1,AB23 VWX,2020,2020-01-30,2020-02-15,2,190,400,2,2,AWD,37000,Miles,Very Good,1,Full,2024-02-15,2024-02-15,26950,GBP,Fixed,25000,true,true,2020 Ford Kuga 2.0 EcoBlue ST-Line X,"Premium SUV spec, all-wheel drive.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
6,AT1234561,1,2,4,5,AB12 CDE,2020,2020-01-15,2020-02-01,2,184,300,1,1,RWD,25000,Miles,Excellent,1,Full,2024-02-01,2024-02-01,28950,GBP,Fixed,27000,true,true,2020 BMW 3 Series 320d M Sport,"Immaculate condition, full service history, one owner from new.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
7,AT123457,1,1,2,1,BC23 FGH,2019,2019-06-10,2019-07-01,2,190,320,2,2,FWD,35000,Miles,Very Good,2,Full,2024-07-01,2024-07-01,24950,GBP,Negotiable,23000,true,true,2019 Audi A4 2.0 TDI Sport,"Well maintained, recent service, excellent fuel economy.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
15,AT123465,1,3,9,1,OP01 DEF,2021,2021-07-08,2021-08-01,1.5,150,240,1,2,FWD,22000,Miles,Very Good,1,Full,2025-08-01,2025-08-01,24950,GBP,Fixed,23000,true,true,2021 Ford Kuga 1.5 EcoBoost Titanium,"Family SUV, great spec, excellent condition.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
19,AT123469,1,5,14,1,WX45 PQR,2017,2017-11-20,2017-12-01,2,150,340,2,2,FWD,62000,Miles,Good,2,Full,2024-12-01,2024-12-01,16950,GBP,Fixed,15000,true,true,2017 Volkswagen Passat 2.0 TDI SE Business,"Spacious family car, great for motorway miles.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
1,AT123456,1,2,4,2,AB12 CDE,2020,2020-01-15,2020-02-01,2,184,300,1,1,RWD,25000,Miles,Excellent,1,Full,2024-02-01,2024-02-01,28950,GBP,Fixed,27000,true,true,2020 BMW 3 Series 320d M Sport,"Immaculate condition, full service history, one owner from new.",Used,Available,true,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,413
27,AT123477,1,6,18,1,MN23 NOP,2020,2020-09-25,2020-10-10,2,197,320,1,2,AWD,33000,Miles,Very Good,1,Full,2024-10-10,2024-10-10,37950,GBP,Fixed,35500,true,true,2020 Mercedes-Benz GLC 300 4MATIC AMG Line,"Premium SUV, excellent condition, full spec.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,1053
8,AT123458,2,6,16,5,CD34 IJK,2021,2021-03-20,2021-04-01,2,194,320,2,2,RWD,15000,Miles,Excellent,1,Full,2025-04-01,2025-04-01,34950,GBP,Fixed,33000,true,true,2021 Mercedes-Benz C220d AMG Line,"Premium spec, low mileage, panoramic roof.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
14,AT123464,4,2,6,1,MN90 ABC,2019,2019-08-14,2019-09-01,2,190,400,2,2,AWD,45000,Miles,Good,2,Partial,2024-09-01,2024-09-01,29950,GBP,Negotiable,27500,true,true,2019 BMW X3 xDrive20d M Sport,"Popular premium SUV, excellent on road and off.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,797
16,AT123466,2,9,25,1,QR12 GHI,2020,2020-04-22,2020-05-01,1.2,100,205,1,1,FWD,28000,Miles,Good,2,Full,2024-05-01,2024-05-01,13950,GBP,Negotiable,12500,true,true,2020 Peugeot 208 1.2 PureTech Allure,"Stylish supermini, economical and reliable.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
10,AT1234601,4,3,7,8,EF56 OPQ,2019,2019-11-10,2019-12-01,1,125,200,1,1,FWD,40000,Miles,Good,2,Partial,2024-12-01,2024-12-01,14950,GBP,Fixed,13500,true,true,2019 Ford Focus 1.0 EcoBoost ST-Line,"Popular spec, good condition, reliable.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
13,AT123463,3,1,3,1,KL89 XYZ,2022,2022-01-25,2022-02-15,2,204,320,1,2,AWD,12000,Miles,Excellent,1,Full,2026-02-15,2026-02-15,42950,GBP,Fixed,40000,true,true,2022 Audi Q5 40 TFSI Quattro S Line,"Nearly new, full manufacturer warranty, premium SUV.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
17,AT123467,3,7,19,1,ST23 JKL,2021,2021-06-15,2021-07-01,1.2,75,118,1,1,FWD,16000,Miles,Excellent,1,Full,2025-07-01,2025-07-01,16950,GBP,Fixed,15500,true,true,2021 Vauxhall Corsa 1.2 Turbo SRi,"Modern supermini, great first car or city runabout.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
25,AT123475,3,9,26,1,IJ01 HIJ,2019,2019-10-08,2019-11-01,1.6,180,250,1,2,FWD,42000,Miles,Good,2,Full,2024-11-01,2024-11-01,19950,GBP,Fixed,18500,true,true,2019 Peugeot 3008 1.6 PureTech GT Line,"Stylish SUV, award-winning interior design.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,1053
49,AT123499,3,2,6,1,EF45 BCD,2020,2020-11-22,2020-12-10,2,184,300,1,2,AWD,28000,Miles,Very Good,1,Full,2024-12-10,2024-12-10,38950,GBP,Fixed,36500,true,true,2020 BMW X3 xDrive20i M Sport,"Premium SUV, excellent driving dynamics.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
52,AT123502,2,8,23,1,KL78 KLM,2020,2020-04-03,2020-04-20,1.5,193,243,1,3,FWD,32000,Miles,Very Good,2,Full,2024-04-20,2024-04-20,26950,GBP,Fixed,25000,true,true,2020 Honda CR-V 1.5 VTEC Turbo SE,"Reliable family SUV, spacious interior.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
5,AT123460,4,3,7,2,EF56 OPQ,2019,2019-11-10,2019-12-01,1,125,200,1,1,FWD,40000,Miles,Good,2,Partial,2024-12-01,2024-12-01,14950,GBP,Fixed,13500,true,true,2019 Ford Focus 1.0 EcoBoost ST-Line,"Popular spec, good condition, reliable.",Used,Available,false,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,541
53,AT123503,3,9,26,1,MN89 NOP,2020,2020-07-25,2020-08-10,1.2,130,230,1,2,FWD,30000,Miles,Very Good,1,Full,2024-08-10,2024-08-10,22950,GBP,Fixed,21500,true,true,2020 Peugeot 3008 1.2 PureTech Allure,"Award-winning SUV, distinctive styling.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,1181
12,AT123462,2,8,22,1,IJ78 UVW,2020,2020-05-12,2020-06-01,1.5,182,240,1,1,FWD,32000,Miles,Very Good,2,Full,2024-06-01,2024-06-01,18950,GBP,Negotiable,17500,true,true,2020 Honda Civic 1.5 VTEC Turbo Sport,"Great handling, reliable Honda build quality.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,925
21,AT123471,3,3,8,1,AB67 VWX,2018,2018-03-15,2018-04-01,1,100,170,1,1,FWD,48000,Miles,Good,3,Partial,2024-04-01,2024-04-01,11950,GBP,Negotiable,10500,true,true,2018 Ford Fiesta 1.0 EcoBoost Zetec,"Popular small car, great handling and economy.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,797
29,AT123479,3,4,12,1,QR45 TUV,2019,2019-02-14,2019-03-01,2.5,218,221,4,3,FWD,35000,Miles,Very Good,1,Full,2024-03-01,2024-03-01,28950,GBP,Fixed,27000,true,true,2019 Toyota Camry 2.5 Hybrid Design,"Executive hybrid saloon, smooth and efficient.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
9,AT1234591,3,5,13,14,DE45 LMN,2020,2020-08-15,2020-09-01,1.5,150,250,1,1,FWD,30000,Miles,Very Good,1,Full,2024-09-01,2024-09-01,19950,GBP,Negotiable,18500,true,true,2020 Volkswagen Golf 1.5 TSI R-Line,"Great condition, well equipped, economical.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
18,AT123468,4,6,17,1,UV34 MNO,2018,2018-09-30,2018-10-15,2,194,400,2,2,RWD,55000,Miles,Good,3,Partial,2024-10-15,2024-10-15,26950,GBP,Negotiable,24500,true,true,2018 Mercedes-Benz E220d SE,"Executive saloon, comfortable and refined.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
4,AT123459,3,5,13,2,DE45 LMN,2020,2020-08-15,2020-09-01,1.5,150,250,1,1,FWD,30000,Miles,Very Good,1,Full,2024-09-01,2024-09-01,19950,GBP,Negotiable,18500,true,true,2020 Volkswagen Golf 1.5 TSI R-Line,"Great condition, well equipped, economical.",Used,Available,false,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,413
50,AT123500,4,6,17,1,GH56 EFG,2020,2020-08-14,2020-09-01,2,197,320,1,2,RWD,36000,Miles,Very Good,1,Full,2024-09-01,2024-09-01,35950,GBP,Fixed,33500,true,true,2020 Mercedes-Benz E300 AMG Line Premium,"Executive luxury, loaded with technology.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
54,AT123504,4,7,21,1,OP90 QRS,2022,2022-02-17,2022-03-05,1.2,100,205,1,1,FWD,9000,Miles,Excellent,1,Full,2026-03-05,2026-03-05,20950,GBP,Fixed,19500,true,true,2022 Vauxhall Mokka 1.2 Turbo SE Premium,"Nearly new compact SUV, full warranty.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
55,AT123505,1,9,27,1,QR01 TUV,2021,2021-10-12,2021-11-01,1.6,180,250,1,2,FWD,22000,Miles,Excellent,1,Full,2025-11-01,2025-11-01,29950,GBP,Fixed,28000,true,true,2021 Peugeot 508 1.6 PureTech GT Line,"Striking fastback design, premium interior.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
22,AT123472,4,8,23,1,CD78 YZA,2019,2019-05-28,2019-06-15,1.5,193,243,1,3,AWD,38000,Miles,Very Good,2,Full,2024-06-15,2024-06-15,27950,GBP,Fixed,26000,true,true,2019 Honda CR-V 1.5 VTEC Turbo SR,"Spacious family SUV, Honda reliability.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,285
26,AT123476,4,7,20,1,KL12 KLM,2022,2022-04-18,2022-05-01,1.2,130,230,1,2,FWD,8000,Miles,Excellent,1,Full,2026-05-01,2026-05-01,23950,GBP,Fixed,22500,true,true,2022 Vauxhall Astra 1.2 Turbo Elite Nav,"Latest generation, nearly new, full warranty.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
28,AT123478,2,5,15,1,OP34 QRS,2018,2018-12-12,2018-12-31,2,150,340,2,2,FWD,52000,Miles,Good,2,Full,2024-12-31,2024-12-31,21950,GBP,Negotiable,20000,true,true,2018 Volkswagen Tiguan 2.0 TDI SEL,"Family SUV, spacious and practical.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
3,AT1234581,2,6,7,2,CD34 IJK,2021,2021-03-20,2021-04-01,2,194,320,2,2,RWD,15000,Miles,Excellent,1,Full,2025-04-01,2025-04-01,34950,GBP,Fixed,33000,true,true,2021 Mercedes-Benz C220d AMG Line,"Premium spec, low mileage, panoramic roof.",Used,Available,true,false,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,2025-06-17 15:18:54.000000000,157
30,AT123480,4,8,24,1,ST56 WXY,2017,2017-06-30,2017-07-15,1.3,102,123,1,3,FWD,44000,Miles,Good,3,Partial,2024-07-15,2024-07-15,12950,GBP,Negotiable,11500,true,true,2017 Honda Jazz 1.3 i-VTEC SE,"Practical city car, excellent use of space.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
31,AT123481,1,9,27,1,UV67 ZAB,2020,2020-11-18,2020-12-01,1.6,180,250,1,2,FWD,29000,Miles,Very Good,1,Full,2024-12-01,2024-12-01,25950,GBP,Fixed,24000,true,true,2020 Peugeot 508 1.6 PureTech GT,"Stylish fastback saloon, striking design.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
33,AT123483,3,1,1,3,YZ89 FGH,2022,2022-06-22,2022-07-10,2,190,320,1,2,FWD,11000,Miles,Excellent,1,Full,2026-07-10,2026-07-10,32950,GBP,Fixed,31000,true,true,2022 Audi A3 40 TFSI Black Edition,"Top spec A3, nearly new with full warranty.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,1053
34,AT123484,4,2,4,4,AB90 IJK,2018,2018-04-16,2018-05-01,2,150,320,2,2,RWD,58000,Miles,Good,2,Full,2024-05-01,2024-05-01,22950,GBP,Negotiable,21000,true,true,2018 BMW 3 Series 320d SE,"Well maintained, comfortable and efficient.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
35,AT123485,1,3,7,9,CD01 LMN,2020,2020-10-07,2020-11-01,1,125,200,1,2,FWD,26000,Miles,Very Good,1,Full,2024-11-01,2024-11-01,18950,GBP,Fixed,17500,true,true,2020 Ford Focus 1.0 EcoBoost Titanium,"High spec Focus, excellent equipment level.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
36,AT123486,2,4,10,11,EF12 OPQ,2020,2020-03-25,2020-04-10,1.8,122,142,4,3,FWD,31000,Miles,Very Good,2,Full,2024-04-10,2024-04-10,20950,GBP,Fixed,19500,true,true,2020 Toyota Corolla 1.8 Hybrid Design,"Hybrid efficiency, modern styling, reliable.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
37,AT123487,3,5,13,13,GH23 RST,2019,2019-09-14,2019-10-01,1.5,150,250,1,1,FWD,39000,Miles,Good,2,Full,2024-10-01,2024-10-01,17950,GBP,Negotiable,16500,true,true,2019 Volkswagen Golf 1.5 TSI Life,"Popular hatchback, good all-rounder.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
38,AT123488,4,4,10,12,IJ34 UVW,2021,2021-05-20,2021-06-05,2,184,190,4,3,FWD,23000,Miles,Excellent,1,Full,2025-06-05,2025-06-05,26950,GBP,Fixed,25000,true,true,2021 Toyota Corolla 2.0 Hybrid Excel,"Top spec hybrid, loaded with equipment.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
39,AT123489,1,5,13,15,KL45 XYZ,2021,2021-11-30,2021-12-15,2,245,370,1,2,FWD,15000,Miles,Excellent,1,Full,2025-12-15,2025-12-15,35950,GBP,Fixed,33500,true,true,2021 Volkswagen Golf 2.0 TSI GTI,"Performance hatchback icon, immaculate condition.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
44,AT123494,2,8,22,1,UV90 MNO,2021,2021-09-12,2021-10-01,1,126,200,1,1,FWD,21000,Miles,Excellent,1,Full,2025-10-01,2025-10-01,22950,GBP,Fixed,21500,true,true,2021 Honda Civic 1.0 VTEC Turbo SE,"Latest generation, excellent build quality.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
45,AT123495,3,9,25,1,WX01 PQR,2021,2021-03-05,2021-03-20,1.2,100,205,1,2,FWD,19000,Miles,Excellent,1,Full,2025-03-20,2025-03-20,18950,GBP,Fixed,17500,true,true,2021 Peugeot 208 1.2 PureTech GT Line,"Stylish supermini, great specification.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,1053
46,AT123496,4,7,20,1,YZ12 STU,2020,2020-06-28,2020-07-15,1.4,145,245,1,1,FWD,34000,Miles,Very Good,2,Full,2024-07-15,2024-07-15,17950,GBP,Negotiable,16500,true,true,2020 Vauxhall Astra 1.4 Turbo SRi Nav,"Sporty hatchback, well equipped.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,29
32,AT123482,2,7,21,1,WX78 CDE,2021,2021-08-05,2021-08-20,1.2,130,230,1,2,FWD,17000,Miles,Excellent,1,Full,2025-08-20,2025-08-20,21950,GBP,Fixed,20500,true,true,2021 Vauxhall Mokka 1.2 Turbo SRi,"Compact SUV, modern design, great value.",Used,Available,true,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,669
40,AT123490,2,3,7,7,MN56 ABC,2018,2018-07-11,2018-08-01,1,100,170,1,1,FWD,46000,Miles,Good,3,Partial,2024-08-01,2024-08-01,13950,GBP,Negotiable,12500,true,true,2018 Ford Focus 1.0 EcoBoost Zetec,"Practical family car, good value.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,797
42,AT123492,4,1,2,1,QR78 GHI,2018,2018-01-25,2018-02-10,2,150,320,2,2,FWD,64000,Miles,Good,2,Full,2024-02-10,2024-02-10,21950,GBP,Negotiable,20000,true,true,2018 Audi A4 2.0 TDI Ultra SE,"Premium saloon, excellent fuel economy.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,541
41,AT123491,3,2,5,4,OP67 DEF,2019,2019-12-08,2019-12-20,2,190,400,2,2,RWD,41000,Miles,Very Good,2,Full,2024-12-20,2024-12-20,31950,GBP,Fixed,29500,true,true,2019 BMW 5 Series 520d SE,"Executive comfort, excellent refinement.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
43,AT123493,1,6,16,1,ST89 JKL,2019,2019-04-18,2019-05-01,2,156,350,2,2,RWD,47000,Miles,Good,2,Full,2024-05-01,2024-05-01,27950,GBP,Fixed,26000,true,true,2019 Mercedes-Benz C200d SE Executive,"Luxury saloon, comfortable and efficient.",Used,Available,false,false,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,2025-06-19 11:26:29.000000000,413
